"","X.3","X.2","X.1","X","source_desc","sector_desc","group_desc","commodity_desc","class_desc","prodn_practice_desc","util_practice_desc","statisticcat_desc","unit_desc","short_desc","domain_desc","domaincat_desc","agg_level_desc","state_ansi","state_fips_code","state_alpha","state_name","asd_code","asd_desc","county_ansi","county_code","county_name","region_desc","zip_5","watershed_code","watershed_desc","congr_district_code","country_code","country_name","location_desc","year","freq_desc","begin_code","end_code","reference_period_desc","week_ending","load_time","Value","CV....","value"
"1024",17510,175,175,9638,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2015,"WEEKLY",37,37,"WEEK #37","2015-09-13","2015-09-14 16:04:13",5,NA,5
"1025",17610,176,176,9639,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2015,"WEEKLY",38,38,"WEEK #38","2015-09-20","2015-09-21 17:19:49",6.5,NA,6.5
"1057",208100,208,208,9671,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2014,"WEEKLY",35,35,"WEEK #35","2014-08-31","2014-09-02 16:05:42",5.6,NA,5.6
"1058",209100,209,209,9672,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2014,"WEEKLY",36,36,"WEEK #36","2014-09-07","2014-09-08 16:08:48",5.8,NA,5.8
"1059",210100,210,210,9673,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2014,"WEEKLY",37,37,"WEEK #37","2014-09-14","2014-09-15 16:06:53",6.4,NA,6.4
"1060",211100,211,211,9674,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2014,"WEEKLY",38,38,"WEEK #38","2014-09-21","2014-09-22 16:05:15",6.7,NA,6.7
"1097",248100,248,248,9711,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2013,"WEEKLY",35,35,"WEEK #35","2013-09-01","2014-11-01 00:00:00",7,NA,7
"1098",249100,249,249,9712,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2013,"WEEKLY",36,36,"WEEK #36","2013-09-08","2014-11-01 00:00:00",7,NA,7
"1099",250100,250,250,9713,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2013,"WEEKLY",37,37,"WEEK #37","2013-09-15","2014-11-01 00:00:00",6.2,NA,6.2
"1100",251100,251,251,9714,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2013,"WEEKLY",38,38,"WEEK #38","2013-09-22","2014-11-01 00:00:00",6.2,NA,6.2
"1133",284100,284,284,9747,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2012,"WEEKLY",35,35,"WEEK #35","2012-09-02","2014-11-01 00:00:00",5.5,NA,5.5
"1134",285100,285,285,9748,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2012,"WEEKLY",36,36,"WEEK #36","2012-09-09","2014-11-01 00:00:00",6.6,NA,6.6
"1135",286100,286,286,9749,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2012,"WEEKLY",37,37,"WEEK #37","2012-09-16","2014-11-01 00:00:00",5.5,NA,5.5
"1136",287100,287,287,9750,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2012,"WEEKLY",38,38,"WEEK #38","2012-09-23","2014-11-01 00:00:00",5.4,NA,5.4
"1172",323100,323,323,9786,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2011,"WEEKLY",35,35,"WEEK #35","2011-09-04","2014-11-01 00:00:00",6.8,NA,6.8
"1173",324100,324,324,9787,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2011,"WEEKLY",36,36,"WEEK #36","2011-09-11","2014-11-01 00:00:00",6.8,NA,6.8
"1174",325100,325,325,9788,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2011,"WEEKLY",37,37,"WEEK #37","2011-09-18","2014-11-01 00:00:00",6.9,NA,6.9
"1175",326100,326,326,9789,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2011,"WEEKLY",38,38,"WEEK #38","2011-09-25","2014-11-01 00:00:00",6.1,NA,6.1
"1212",363100,363,363,9826,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2010,"WEEKLY",35,35,"WEEK #35","2010-09-05","2014-11-01 00:00:00",4.7,NA,4.7
"1213",364100,364,364,9827,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2010,"WEEKLY",36,36,"WEEK #36","2010-09-12","2014-11-01 00:00:00",4.4,NA,4.4
"1214",365100,365,365,9828,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2010,"WEEKLY",37,37,"WEEK #37","2010-09-19","2014-11-01 00:00:00",6.7,NA,6.7
"1215",366100,366,366,9829,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2010,"WEEKLY",38,38,"WEEK #38","2010-09-26","2014-11-01 00:00:00",6.2,NA,6.2
"1250",40110,401,401,9864,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2009,"WEEKLY",35,35,"WEEK #35","2009-08-30","2014-11-01 00:00:00",4.4,NA,4.4
"1251",40210,402,402,9865,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2009,"WEEKLY",36,36,"WEEK #36","2009-09-06","2014-11-01 00:00:00",6,NA,6
"1252",40310,403,403,9866,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2009,"WEEKLY",37,37,"WEEK #37","2009-09-13","2014-11-01 00:00:00",6.9,NA,6.9
"1253",40410,404,404,9867,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2009,"WEEKLY",38,38,"WEEK #38","2009-09-20","2014-11-01 00:00:00",2.4,NA,2.4
"1293",44410,444,444,9907,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2008,"WEEKLY",35,35,"WEEK #35","2008-08-31","2014-11-01 00:00:00",5.8,NA,5.8
"1294",44510,445,445,9908,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2008,"WEEKLY",36,36,"WEEK #36","2008-09-07","2014-11-01 00:00:00",6.2,NA,6.2
"1295",44610,446,446,9909,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2008,"WEEKLY",37,37,"WEEK #37","2008-09-14","2014-11-01 00:00:00",4,NA,4
"1296",44710,447,447,9910,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2008,"WEEKLY",38,38,"WEEK #38","2008-09-21","2014-11-01 00:00:00",2,NA,2
"1332",48310,483,483,9946,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2007,"WEEKLY",35,35,"WEEK #35","2007-09-02","2014-11-01 00:00:00",5.6,NA,5.6
"1333",48410,484,484,9947,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2007,"WEEKLY",36,36,"WEEK #36","2007-09-09","2014-11-01 00:00:00",6.6,NA,6.6
"1334",48510,485,485,9948,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2007,"WEEKLY",37,37,"WEEK #37","2007-09-16","2014-11-01 00:00:00",6.4,NA,6.4
"1335",48610,486,486,9949,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2007,"WEEKLY",38,38,"WEEK #38","2007-09-23","2014-11-01 00:00:00",7,NA,7
"1370",52110,521,521,9984,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2006,"WEEKLY",35,35,"WEEK #35","2006-09-03","2014-11-01 00:00:00",3.4,NA,3.4
"1371",52210,522,522,9985,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2006,"WEEKLY",36,36,"WEEK #36","2006-09-10","2014-11-01 00:00:00",3.9,NA,3.9
"1372",52310,523,523,9986,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2006,"WEEKLY",37,37,"WEEK #37","2006-09-17","2014-11-01 00:00:00",6,NA,6
"1373",52410,524,524,9987,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2006,"WEEKLY",38,38,"WEEK #38","2006-09-24","2014-11-01 00:00:00",5.9,NA,5.9
