"","source_desc","sector_desc","group_desc","commodity_desc","class_desc","prodn_practice_desc","util_practice_desc","statisticcat_desc","unit_desc","short_desc","domain_desc","domaincat_desc","agg_level_desc","state_ansi","state_fips_code","state_alpha","state_name","asd_code","asd_desc","county_ansi","county_code","county_name","region_desc","zip_5","watershed_code","watershed_desc","congr_district_code","country_code","country_name","location_desc","year","freq_desc","begin_code","end_code","reference_period_desc","week_ending","load_time","Value","CV (%)"
"11","CENSUS","CROPS","FIELD CROPS","COTTON","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","COTTON - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","STATE","05","05","AR","ARKANSAS",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","ARKANSAS","2017","ANNUAL","00","00","YEAR",NA,"2018-02-01 00:00:00","293,453","7.2"
"12","CENSUS","CROPS","FIELD CROPS","COTTON","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","COTTON - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","STATE","05","05","AR","ARKANSAS",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","ARKANSAS","2012","ANNUAL","00","00","YEAR",NA,"2012-12-31 00:00:00","396,364","13.1"
"13","CENSUS","CROPS","FIELD CROPS","COTTON","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","COTTON - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","STATE","05","05","AR","ARKANSAS",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","ARKANSAS","2007","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00","618,615",NA
"14","CENSUS","CROPS","FIELD CROPS","COTTON","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","COTTON - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","STATE","05","05","AR","ARKANSAS",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","ARKANSAS","2002","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00","599,823",NA
"15","CENSUS","CROPS","FIELD CROPS","COTTON","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","COTTON - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","STATE","05","05","AR","ARKANSAS",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","ARKANSAS","1997","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00","449,382",NA
"16","CENSUS","CROPS","FIELD CROPS","COTTON","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","COTTON - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","STATE","06","06","CA","CALIFORNIA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","CALIFORNIA","2017","ANNUAL","00","00","YEAR",NA,"2018-02-01 00:00:00","160,028","8.3"
"17","CENSUS","CROPS","FIELD CROPS","COTTON","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","COTTON - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","STATE","06","06","CA","CALIFORNIA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","CALIFORNIA","2012","ANNUAL","00","00","YEAR",NA,"2012-12-31 00:00:00","216,350","3.2"
"18","CENSUS","CROPS","FIELD CROPS","COTTON","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","COTTON - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","STATE","06","06","CA","CALIFORNIA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","CALIFORNIA","2007","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00","228,612",NA
"19","CENSUS","CROPS","FIELD CROPS","COTTON","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","COTTON - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","STATE","06","06","CA","CALIFORNIA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","CALIFORNIA","2002","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00","324,740",NA
"20","CENSUS","CROPS","FIELD CROPS","COTTON","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","COTTON - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","STATE","06","06","CA","CALIFORNIA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","CALIFORNIA","1997","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00","540,908",NA
"21","CENSUS","CROPS","FIELD CROPS","COTTON","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","COTTON - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","STATE","12","12","FL","FLORIDA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","FLORIDA","2017","ANNUAL","00","00","YEAR",NA,"2018-02-01 00:00:00","41,847","48.2"
"22","CENSUS","CROPS","FIELD CROPS","COTTON","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","COTTON - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","STATE","12","12","FL","FLORIDA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","FLORIDA","2012","ANNUAL","00","00","YEAR",NA,"2012-12-31 00:00:00","36,403","16.2"
"23","CENSUS","CROPS","FIELD CROPS","COTTON","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","COTTON - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","STATE","12","12","FL","FLORIDA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","FLORIDA","2007","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00","25,128",NA
"24","CENSUS","CROPS","FIELD CROPS","COTTON","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","COTTON - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","STATE","12","12","FL","FLORIDA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","FLORIDA","2002","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00","37,016",NA
"25","CENSUS","CROPS","FIELD CROPS","COTTON","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","COTTON - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","STATE","13","13","GA","GEORGIA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","GEORGIA","2017","ANNUAL","00","00","YEAR",NA,"2018-02-01 00:00:00","543,950","2.7"
"26","CENSUS","CROPS","FIELD CROPS","COTTON","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","COTTON - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","STATE","13","13","GA","GEORGIA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","GEORGIA","2012","ANNUAL","00","00","YEAR",NA,"2012-12-31 00:00:00","507,229","1.7"
"27","CENSUS","CROPS","FIELD CROPS","COTTON","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","COTTON - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","STATE","13","13","GA","GEORGIA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","GEORGIA","2007","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00","373,134",NA
"28","CENSUS","CROPS","FIELD CROPS","COTTON","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","COTTON - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","STATE","13","13","GA","GEORGIA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","GEORGIA","2002","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00","513,217",NA
"29","CENSUS","CROPS","FIELD CROPS","COTTON","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","COTTON - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","STATE","13","13","GA","GEORGIA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","GEORGIA","1997","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00","476,029",NA
"30","CENSUS","CROPS","FIELD CROPS","COTTON","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","COTTON - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","STATE","20","20","KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","KANSAS","2017","ANNUAL","00","00","YEAR",NA,"2018-02-01 00:00:00","34,410","24.7"
"31","CENSUS","CROPS","FIELD CROPS","COTTON","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","COTTON - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","STATE","20","20","KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","KANSAS","2012","ANNUAL","00","00","YEAR",NA,"2012-12-31 00:00:00","14,651","26.1"
"32","CENSUS","CROPS","FIELD CROPS","COTTON","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","COTTON - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","STATE","20","20","KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","KANSAS","2007","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00","16,797",NA
"33","CENSUS","CROPS","FIELD CROPS","COTTON","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","COTTON - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","STATE","20","20","KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","KANSAS","2002","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00","21,863",NA
"34","CENSUS","CROPS","FIELD CROPS","COTTON","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","COTTON - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","STATE","22","22","LA","LOUISIANA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","LOUISIANA","2017","ANNUAL","00","00","YEAR",NA,"2018-02-01 00:00:00","111,475","30.3"
"35","CENSUS","CROPS","FIELD CROPS","COTTON","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","COTTON - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","STATE","22","22","LA","LOUISIANA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","LOUISIANA","2012","ANNUAL","00","00","YEAR",NA,"2012-12-31 00:00:00","89,435","14.8"
"36","CENSUS","CROPS","FIELD CROPS","COTTON","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","COTTON - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","STATE","22","22","LA","LOUISIANA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","LOUISIANA","2007","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00","150,532",NA
"37","CENSUS","CROPS","FIELD CROPS","COTTON","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","COTTON - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","STATE","22","22","LA","LOUISIANA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","LOUISIANA","2002","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00","177,532",NA
"38","CENSUS","CROPS","FIELD CROPS","COTTON","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","COTTON - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","STATE","22","22","LA","LOUISIANA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","LOUISIANA","1997","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00","210,040",NA
"39","CENSUS","CROPS","FIELD CROPS","COTTON","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","COTTON - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","STATE","28","28","MS","MISSISSIPPI",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","MISSISSIPPI","2017","ANNUAL","00","00","YEAR",NA,"2018-02-01 00:00:00","435,201","8.7"
"40","CENSUS","CROPS","FIELD CROPS","COTTON","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","COTTON - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","STATE","28","28","MS","MISSISSIPPI",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","MISSISSIPPI","2012","ANNUAL","00","00","YEAR",NA,"2012-12-31 00:00:00","255,151","5.1"
"41","CENSUS","CROPS","FIELD CROPS","COTTON","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","COTTON - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","STATE","28","28","MS","MISSISSIPPI",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","MISSISSIPPI","2007","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00","417,516",NA
"42","CENSUS","CROPS","FIELD CROPS","COTTON","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","COTTON - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","STATE","28","28","MS","MISSISSIPPI",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","MISSISSIPPI","2002","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00","783,337",NA
"43","CENSUS","CROPS","FIELD CROPS","COTTON","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","COTTON - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","STATE","28","28","MS","MISSISSIPPI",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","MISSISSIPPI","1997","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00","556,586",NA
"44","CENSUS","CROPS","FIELD CROPS","COTTON","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","COTTON - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","STATE","29","29","MO","MISSOURI",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","MISSOURI","2017","ANNUAL","00","00","YEAR",NA,"2018-02-01 00:00:00","214,237","9.7"
"45","CENSUS","CROPS","FIELD CROPS","COTTON","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","COTTON - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","STATE","29","29","MO","MISSOURI",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","MISSOURI","2012","ANNUAL","00","00","YEAR",NA,"2012-12-31 00:00:00","245,407","6.0"
"46","CENSUS","CROPS","FIELD CROPS","COTTON","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","COTTON - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","STATE","29","29","MO","MISSOURI",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","MISSOURI","2007","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00","234,947",NA
"47","CENSUS","CROPS","FIELD CROPS","COTTON","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","COTTON - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","STATE","29","29","MO","MISSOURI",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","MISSOURI","2002","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00","225,285",NA
"48","CENSUS","CROPS","FIELD CROPS","COTTON","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","COTTON - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","STATE","29","29","MO","MISSOURI",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","MISSOURI","1997","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00","144,930",NA
"49","CENSUS","CROPS","FIELD CROPS","COTTON","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","COTTON - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","STATE","35","35","NM","NEW MEXICO",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","NEW MEXICO","2017","ANNUAL","00","00","YEAR",NA,"2018-02-01 00:00:00","24,270","11.7"
"50","CENSUS","CROPS","FIELD CROPS","COTTON","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","COTTON - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","STATE","35","35","NM","NEW MEXICO",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","NEW MEXICO","2012","ANNUAL","00","00","YEAR",NA,"2012-12-31 00:00:00","7,917","53.0"
"51","CENSUS","CROPS","FIELD CROPS","COTTON","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","COTTON - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","STATE","35","35","NM","NEW MEXICO",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","NEW MEXICO","2007","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00","11,147",NA
"52","CENSUS","CROPS","FIELD CROPS","COTTON","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","COTTON - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","STATE","35","35","NM","NEW MEXICO",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","NEW MEXICO","2002","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00","11,887",NA
"53","CENSUS","CROPS","FIELD CROPS","COTTON","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","COTTON - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","STATE","35","35","NM","NEW MEXICO",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","NEW MEXICO","1997","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00","(D)",NA
